LDA,Label
0.868,1
0.533,1
0.322,0
0.185,1
-1.39,0
3.721,1
-1.257,0
1.547,1
0.09,0
-0.185,0
-0.616,0
-0.454,0
0.365,1
-1.434,0
0.101,1
-1.728,0
1.713,1
-0.337,0
2.736,1
1.052,1
-0.894,0
-1.131,1
-0.36,0
0.296,0
2.188,1
-0.908,1
4.316,1
1.245,1
0.445,1
1.268,1
-1.355,0
1.128,1
-1.888,0
-2.033,0
-1.584,0
-0.982,0
0.032,0
0.266,0
-1.793,0
-2.06,0
-0.869,0
-1.065,0
1.643,1
0.807,1
-1.472,0
1.469,1
1.081,1
-0.915,0
0.694,0
-2.032,0
0.3,1
1.666,1
-0.053,0
-0.702,0
-1.698,0
-2.246,0
0.926,1
-1.615,0
1.902,1
-1.645,0
0.293,1
-0.018,0
-1.354,0
-1.848,0
-1.212,0
0.288,1
-1.611,0
-0.808,0
-0.522,1
3.282,1
1.374,0
-0.706,0
0.097,0
1.128,1
1.898,1
-0.366,0
0.326,1
1.561,1
0.03,0
0.935,1
1.59,1
-0.475,0
-0.39,0
-1.583,0
4.054,1
0.469,0
-0.835,0
0.837,1
-1.448,0
-1.795,0
1.258,1
1.989,1
-1.733,0
2.7,1
-0.216,1
-1.362,1
-1.758,0
-0.149,0
0.893,0
-0.758,0
0.44,1
1.194,1
1.131,1
0.825,0
0.343,0
-0.248,0
0.692,1
-0.683,0
-0.512,0
0.936,1
2.955,1
-1.144,0
0.087,0
1.242,1
1.13,1
-1.341,0
-0.693,0
1.289,1
-0.099,1
0.879,1
1.0,1
-1.82,0
2.498,1
-1.213,0
0.163,0
-1.376,0
-1.002,0
-0.995,0
-0.004,0
2.612,1
0.192,1
-1.628,0
-1.104,0
-1.271,0
2.257,1
-1.484,0
0.602,1
3.505,1
-0.274,0
0.637,1
2.318,1
-1.986,0
3.234,1
-0.621,0
-2.175,0
1.488,1
0.388,1
-0.779,0
0.838,1
-0.621,0
0.493,1
0.898,1
0.779,1
-1.721,0
-2.142,0
3.296,1
2.233,1
0.252,0
-1.348,0
0.553,1
-1.793,0
2.693,1
-1.211,0
0.573,0
1.995,1
-1.381,0
-0.276,0
-1.382,0
0.977,1
1.073,1
-0.633,0
0.79,1
-0.267,0
-0.866,0
-0.664,0
-0.774,0
-0.939,0
1.512,1
2.21,1
1.099,1
1.997,1
0.555,1
-0.479,0
-1.489,0
3.107,1
1.184,1
0.12,0
0.991,1
-1.201,0
-0.959,0
-1.854,0
0.903,1
1.758,1
2.005,1
-0.901,0
-1.774,0
1.232,1
-0.52,0
0.801,1
2.267,1
2.246,1
0.232,0
0.912,1
0.719,1
1.589,1
1.081,1
-0.737,0
-0.335,1
0.974,1
-0.097,0
0.643,1
-1.561,0
1.788,1
-1.242,0
1.825,1
-0.432,0
-1.223,0
3.332,1
1.67,1
-0.945,0
-0.415,0
0.177,0
0.796,1
2.414,1
0.177,0
1.696,1
0.794,1
-0.761,0
2.04,1
-0.322,0
-1.806,0
0.308,1
2.048,1
0.76,0
2.441,1
-0.194,0
-1.466,0
-0.434,0
0.325,0
2.449,1
-1.568,0
1.924,1
-0.661,0
1.455,1
-0.168,0
-2.801,0
-0.408,0
1.424,1
-2.064,0
0.08,1
-0.155,0
-1.935,0
1.692,1
-1.77,0
0.89,0
-2.195,0
-0.59,1
-0.228,1
-0.602,0
0.722,1
-2.023,0
-1.7,0
1.668,1
-1.635,0
-0.04,1
-0.222,0
0.937,1
1.589,1
2.249,1
1.166,1
-0.4,0
-1.792,0
-0.676,0
-1.917,0
0.609,1
-1.693,0
3.683,1
0.254,1
-0.857,0
2.122,1
1.812,1
0.611,1
3.815,1
-0.731,0
-0.901,0
-2.539,0
-0.759,0
-0.679,0
-1.619,0
-1.59,0
-1.641,0
0.302,0
-0.201,0
-0.876,0
2.443,1
-1.333,0
-0.562,0
0.543,0
-0.689,0
1.583,1
0.734,1
-1.761,0
2.023,1
-1.938,0
-2.114,0
0.552,0
-1.877,0
2.273,1
-0.739,0
-2.342,0
2.56,1
-0.34,0
-1.184,0
0.881,1
2.453,1
-0.1,0
-2.586,0
0.241,0
-1.153,0
0.161,1
0.732,1
2.004,1
-0.404,0
-1.207,0
2.347,1
0.126,1
-0.815,0
2.86,1
-1.048,0
1.191,1
1.805,1
0.761,0
-1.091,0
-0.276,0
-1.484,0
0.507,1
2.166,1
0.631,1
-1.144,0
-0.757,0
-0.192,0
-1.205,0
2.716,1
2.812,1
-1.162,0
-1.029,0
0.177,0
-1.364,0
1.306,1
-0.831,0
1.08,1
0.081,1
1.163,1
0.596,1
-1.433,0
-1.78,0
-0.194,0
-0.924,0
-0.416,0
-1.196,0
-1.438,0
-1.593,0
-1.843,0
1.501,1
0.648,0
-0.693,0
2.388,1
1.182,1
-2.409,0
-1.307,0
-1.092,0
1.155,1
-1.588,0
-0.103,0
-1.799,0
-0.488,0
1.221,0
-1.256,0
-2.036,0
2.715,1
0.567,1
-1.924,0
2.395,1
-0.814,0
-0.401,0
-0.459,1
0.895,1
-0.656,1
0.116,1
-0.961,0
-1.254,0
1.787,1
0.025,0
-1.581,0
-0.47,0
1.473,1
0.91,1
-0.973,0
-1.255,0
-1.126,0
1.106,1
1.223,1
0.772,1
-1.181,0
-0.688,0
1.533,1
0.51,1
-1.557,0
2.086,1
-1.048,1
0.032,0
2.065,1
-0.066,0
3.485,1
0.074,0
-1.465,0
-1.401,0
-0.842,0
0.428,1
-0.267,0
-0.588,0
-1.233,0
-0.83,0
-0.23,0
-0.277,0
1.612,1
-1.75,0
0.699,1
-2.169,0
-1.254,1
-1.808,0
4.144,1
-1.762,0
-2.917,0
-1.411,0
-0.302,0
0.936,1
-0.811,0
1.004,0
-0.597,0
-0.009,1
-1.959,0
-2.533,0
-2.762,0
-0.402,1
-0.268,0
0.727,1
-1.192,0
-1.244,0
1.245,1
0.725,1
1.056,1
-1.784,0
-0.123,0
-0.107,1
0.225,1
-0.25,0
-0.538,1
-0.383,0
-0.209,0
0.776,0
-1.693,0
0.02,0
0.845,1
0.034,0
1.545,1
-1.419,0
1.31,1
-1.133,0
2.533,1
0.513,1
0.109,1
-1.787,0
0.471,1
0.929,1
1.565,1
-0.048,0
1.503,1
-2.177,0
-1.295,0
-1.245,0
2.487,1
-0.284,0
-0.724,0
0.431,1
-1.101,0
-0.084,0
-0.705,0
0.724,1
3.758,1
-0.659,0
-2.021,0
1.726,1
-2.177,0
3.935,1
-1.167,0
0.599,1
2.374,1
1.424,1
-0.099,0
0.145,0
1.974,1
0.2,1
-2.432,0
-0.552,0
-0.134,0
-1.298,0
-1.184,0
-1.578,0
-0.01,0
-0.834,0
-0.182,0
0.937,1
-1.463,0
0.938,1
-1.052,0
-0.228,0
-1.128,0
0.234,1
0.884,1
-0.877,0
-0.432,0
1.041,1
-0.351,0
-0.233,0
-1.235,0
1.974,1
-0.821,0
0.317,1
-1.923,0
-0.488,0
1.856,1
-2.197,0
1.5,1
0.293,1
0.302,1
-0.572,0
0.121,1
-1.098,0
-0.93,0
0.811,1
1.373,1
2.842,1
1.764,1
-1.154,0
-0.58,0
0.464,1
-0.698,0
0.5,1
-1.697,0
0.897,1
-2.051,0
0.333,1
-1.121,0
0.79,0
0.805,1
-0.099,0
-0.288,1
-0.916,0
-0.074,0
-1.412,0
2.677,1
0.542,1
-0.001,1
1.315,1
-0.674,0
