Duplicated name,Without location,Without description,Without website,Unverified,Followers,Followings,Public member,Likes,Total tweets,Age,Default theme,Default photo,Source,Without geotagged,Tweet's retweets,Tweet's likes,Mentions,Hashtags,Link,Label
0,1,0,1,1,417,981,0,21767,26489,0,1,1,90,1,1,1,0,1,1,1
0,0,0,1,1,1478,4924,4,27948,48480,0,1,0,93,1,1,1,0,5,2,0
0,0,0,1,1,49,43,1,53,564,0,1,0,19,1,1,1,0,4,0,1
0,0,0,0,1,2092,2943,41,30334,5308,0,0,0,88,1,1,1,1,8,1,0
0,0,0,1,1,844,949,5,89810,33791,0,1,0,93,1,0,0,1,1,0,0
0,0,0,1,1,2824,4515,1,718,635,0,1,0,90,1,3,6,0,2,0,0
0,1,0,0,1,1820,2836,68,11411,13485,0,0,0,93,1,1,3,2,4,1,0
0,0,0,0,1,18421,19180,37,77681,28157,0,0,0,91,1,2,0,0,6,1,0
0,0,0,0,1,2520,2320,149,1250,7889,0,0,0,56,1,1,1,0,4,1,0
0,1,0,1,1,204,93,1,1022,4084,0,1,0,93,1,1,1,0,1,1,1
0,0,0,1,1,152,613,1,21,79,0,1,0,93,1,1,1,0,2,0,1
0,0,0,0,1,4122,4974,376,79639,509940,0,0,0,93,1,2,3,0,4,1,0
0,1,0,1,1,118,139,0,1833,1972,0,1,0,88,1,3,3,0,28,1,1
0,0,0,1,1,34,13,1,33,166,0,1,0,93,1,2,2,0,1,0,1
0,1,0,0,1,68,197,6,1873,49974,0,1,0,88,1,1,1,0,13,2,1
0,0,1,0,1,27,18,2,2,514,0,1,0,17,1,1,3,0,10,0,1
0,0,0,1,1,663,845,17,18654,14797,0,1,0,93,1,1,2,0,3,1,0
1,0,0,0,1,18161,18928,35,801,5686,0,0,0,88,1,2,1,0,22,1,0
1,0,0,0,1,282,719,2,2563,8402,0,1,0,12,1,1,1,4,3,1,0
0,1,0,0,1,4495,359,3,1615,2591,0,1,0,93,1,1,3,0,11,0,0
0,0,0,0,1,223,4576,0,15852,93543,0,1,0,88,1,1,1,0,10,3,0
0,1,0,1,1,180,543,1,1369,1061,1,1,0,88,1,0,0,0,2,1,1
0,0,0,1,1,973,364,21,2163,1815,0,1,0,88,1,2,3,0,2,0,0
0,0,0,0,1,17,1,0,4,203,0,0,0,88,1,2,1,0,20,1,1
0,0,0,0,1,804,382,10,253,2293,0,0,0,88,1,1,2,0,11,1,0
0,1,0,1,1,3839,4820,115,74290,230923,0,0,0,93,1,0,0,1,2,0,0
0,1,0,1,1,4670,4700,3,9092,9674,0,1,0,88,1,4,8,1,5,0,0
0,0,0,1,1,58,227,0,7035,1181,0,1,0,93,1,0,0,0,1,1,1
0,0,0,1,1,104077,88167,859,117604,70107,0,1,0,93,1,1,1,0,6,2,0
0,0,0,0,1,331,1198,19,2779,10107,0,0,0,80,1,0,0,0,3,1,0
0,0,0,1,1,136,307,1,4801,1122,0,1,0,93,1,1,1,1,1,0,0
0,0,0,1,1,35,166,0,921,2274,1,1,0,93,1,0,0,2,2,0,1
0,1,0,0,1,1,3,0,137,133,1,1,0,90,1,1,2,0,13,0,1
0,0,0,1,1,1494,1683,6,26252,33511,0,0,0,88,1,0,0,1,1,0,0
0,0,0,1,1,4054,1999,525,105382,283779,0,0,0,88,1,1,1,1,2,1,0
1,0,0,1,1,497,784,13,12622,19663,0,0,0,93,1,1,2,0,1,0,0
0,0,0,1,1,64,162,0,1195,959,1,1,0,90,1,1,2,0,5,1,1
0,1,0,0,1,12139,12187,30,8398,8970,0,1,0,88,1,1,2,1,2,1,0
0,1,0,1,1,29,42,0,60,1055,0,1,0,88,1,1,2,0,6,1,1
1,0,0,0,1,26209,16458,134,82568,149493,0,1,0,90,1,4,8,0,7,1,1
0,0,0,0,1,3635,1154,350,13,301836,0,0,0,31,1,1,1,0,1,0,0
0,1,0,1,1,195,230,0,88,144,0,1,0,93,1,1,1,0,1,1,1
0,1,1,1,1,516,2717,0,79615,36444,0,1,0,93,1,1,1,0,3,0,1
0,0,0,0,1,4197,2663,67,81489,48193,0,0,0,88,1,3,4,0,3,0,0
0,0,0,0,1,4421,449,56,7657,3543,0,0,0,93,1,0,0,1,3,0,0
0,1,0,1,1,194,2907,14,970,1082,0,1,0,93,1,1,1,0,27,0,1
0,0,0,1,1,121,62,0,7,13303,0,1,0,97,1,1,2,0,1,1,1
0,1,0,1,1,3869,2146,115,21557,44823,0,0,0,88,1,1,2,0,1,1,0
0,0,0,0,1,1349,2711,48,25994,35757,0,0,0,88,1,1,1,2,4,1,0
